Name,Type,Price per night,Host,Rating,Reviews,City
Acogedor apartamento privado en el centro de Berna,"Alojamiento entero: piso en Bern, Suiza",43,Anfitrión: Marcos,"4,68",19,bern
Exclusivo departamento urbano,"Alojamiento entero: piso en Bern, Suiza",473,Anfitrión: Stephan,,,bern
Sala de estar en Berna,"Habitación en Bern, Suiza",36,Quédate con Arwen,"5,0",5,bern
Apartamento en el casco antiguo,"Alojamiento entero: piso en Bern, Suiza",125,Anfitrión: Kai,"4,84",339,bern
Habitación en Freimettigen,"Habitación en Freimettigen, Suiza",36,Anfitrión: Urs,,,bern
"Ice Attic-Apt, casco antiguo, a 3 minutos de la estación de tren","Habitación en apartahotel en Bern, Suiza",113,Anfitrión: Kai,"4,84",218,bern
N.º 2 apartamento acogedor y céntrico,"Alojamiento entero: piso en Bern, Suiza",71,Anfitrión: Bess,"4,87",,bern
"Habitación en el espejo BE, a 10 de Berna","Alojamiento entero: piso en Köniz, Suiza",62,Anfitrión: Chantal,"5,0",13,bern
"Habitación soleada, súper central, estación de Berna a 5 minutos a pie","Habitación en Bern, Suiza",68,Quédate con Kai,"4,93",877,bern
Como si estuvieras en casa,"Habitación en Ostermundigen, Suiza",42,Quédate con Aline Karina,,,bern
Habitación ático con vistas increíbles,"Habitación en Bern, Suiza",53,Anfitrión: Roger,"4,94",16,bern
Hermosa habitación en el casco antiguo de Berna,"Habitación en Bern, Suiza",55,Quédate con Eliane,"4,82",68,bern
Precioso apartamento de 1 habitación con terraza y cerca de la Universidad,"Alojamiento entero: piso en Bern, Suiza",76,Anfitrión: Daniel,"4,86",86,bern
Acogedor apartamento con patio privado en el corazón de Berna,"Alojamiento entero: piso en Bern, Suiza",83,Anfitrión: Lena,"4,91",145,bern
"Habitación, Thörishaus Dorf, ""Kellerstudio""","Alojamiento entero: piso en Köniz, Suiza",43,Anfitrión: Mark,"5,0",17,bern
cHEaRT de BErn – URBErN Pulse,"Alojamiento entero: piso en Bern, Suiza",97,Anfitrión: Rinaldo,,,bern
