name;category;price_per_night;host;rating;reviews;city;country
Alpenblick;Alojamiento entero;113.0; Marianne;4.97;67.0;Bern;Suiza
Sala de estar en Berna;Habitación;36.0;Arwen;5.0;6.0;Bern;Suiza
Escapada al campo;Habitación;31.0;Franziska;0.0;0.0;Bern;Suiza
Habitación individual privada en Berna;Habitación;45.0; Weng Ian;0.0;0.0;Bern;Suiza
Casa céntrica en Zollikofen;Alojamiento entero;200.0; Michael & Selina;5.0;7.0;Bern;Suiza
Artista en The Green Park;Alojamiento entero;102.0; Cristhian;4.68;95.0;Bern;Suiza
Apartamento especial en una ubicación exclusiva;Alojamiento entero;98.0; Ursula;4.98;446.0;Bern;Suiza
Acogedor apartamento con patio privado en el corazón de Berna;Alojamiento entero;82.0; Lena;4.9;147.0;Bern;Suiza
Como si estuvieras en casa;Habitación;42.0;Aline Karina;0.0;0.0;Bern;Suiza
Apartamento espacioso y silencioso en el centro de la ciudad de Berna;Alojamiento entero;108.0; Jessica;0.0;0.0;Bern;Suiza
"Habitación, Thörishaus Dorf, ""Kellerstudio""";Alojamiento entero;43.0; Mark;5.0;18.0;Bern;Suiza
¡Pequeño pero bonito! ¡Bonito y completo!;Habitación;60.0; Martha;4.82;218.0;Bern;Suiza
Apartamento grande y seguro cómodo;Alojamiento entero;216.0; Emilie;5.0;4.0;Bern;Suiza
Apartamento de negocios moderno - Insel;Alojamiento entero;102.0; Jürg Martin;4.92;87.0;Bern;Suiza
Sobre los techos de Berna;Alojamiento entero;175.0; Stéphane;0.0;0.0;Bern;Suiza
"""B&B alba"" en loft atmosférico y silencioso";Alojamiento entero;98.0; Gema;4.99;199.0;Bern;Suiza
Estudio soleado y relajante;Alojamiento entero;98.0; Jazmine;4.9;10.0;Bern;Suiza
cHEaRT de BErn – URBErN Pulse;Alojamiento entero;90.0; Rinaldo;0.0;0.0;Bern;Suiza
Apartamento entero en Europaplatz;Alojamiento entero;98.0; Irene;4.95;84.0;Bern;Suiza
La Casa Azul;Alojamiento entero;199.0; Liselotte;4.91;70.0;Bern;Suiza
Habitación preciosa cerca de la ciudad de Berna;Habitación;51.0;Romeo;4.57;7.0;Bern;Suiza
4.5 Z.- Apartamento con vista a la montaña;Alojamiento entero;257.0; Fabien;4.81;0.0;Bern;Suiza
Acogedor apartamento con jardín y gimnasio;Alojamiento entero;93.0; Serge;4.68;47.0;Bern;Suiza
Safaritent 2 personas (Jungfrau) / Camping Rütti;otro;57.0; Sylvia & Toni;0.0;0.0;Bern;Suiza
Tranquilo Ático-Apto., Super céntrico;Alojamiento entero;187.0; Kai;4.91;74.0;Bern;Suiza
Apartamento en el primer piso de Fischermätteliquartier;Alojamiento entero;129.0; Bernadette;4.61;38.0;Bern;Suiza
Ahorni;Alojamiento entero;172.0; Sonja - Interhome Group;4.82;17.0;Bern;Suiza
Esquí y baños en Loèche-les-Bains;Alojamiento entero;82.0; Judit;5.0;11.0;Bern;Suiza
Estudio en Interlaken;Alojamiento entero;154.0; Swiss Holidays Apartments;4.13;8.0;Bern;Suiza
Apartamento rojo cerca de Interlaken;Alojamiento entero;158.0; Claudia;4.76;343.0;Bern;Suiza
Vacaciones en Biel con terraza y fitness;Alojamiento entero;107.0; Serge;4.78;9.0;Bern;Suiza
Beatenberg Lakeview de ROOXI;Alojamiento entero;302.0; Ruxin;4.87;23.0;Bern;Suiza
Apartamento de vacaciones de 4 dormitorios en el Chalet Paradiesli, Sigriswil;Alojamiento entero;180.0; Lisa;4.96;27.0;Bern;Suiza
Duplex Comfort, Dorint Blümlisalp;Alojamiento entero;223.0; Sonja - Interhome Group;4.86;28.0;Bern;Suiza
Weisses Haus - Alpine View;Alojamiento entero;181.0; Aurelija;4.95;64.0;Bern;Suiza
Orange Apt., casco antiguo, a 3 minutos de la estación de tren de Berna.;Habitación;249.0; Kai;4.82;233.0;Bern;Suiza
Retiros ocultos | The Lohner;Alojamiento entero;595.0; Wes;4.96;24.0;Bern;Suiza
bnb-Wabern;Alojamiento entero;130.0; Monica & Stephan;4.8;304.0;Bern;Suiza
Hermosa habitación en el casco antiguo de Berna;Habitación;54.0;Eliane;4.82;68.0;Bern;Suiza
Apartamento en la ciudad de Thun;Alojamiento entero;216.0; Marcos;4.93;42.0;Bern;Suiza
Apartamento tipo loft, bonito y céntrico;Alojamiento entero;185.0; Nicole;5.0;0.0;Bern;Suiza
La mejor ubicación cerca del centro de Berna;Alojamiento entero;226.0; Stefan;4.9;382.0;Bern;Suiza
Romántico apartamento amplio DG;Alojamiento entero;141.0; Mathias & Christina;4.98;189.0;Bern;Suiza
Sennenwohnung Bärghuus Axalp;Alojamiento entero;129.0; Peter;4.9;200.0;Bern;Suiza
Maisonette-Apt., casco antiguo, a 3 minutos de la estación de Berna;Alojamiento entero;170.0; Kai;4.69;661.0;Bern;Suiza
Vivir en el casco histórico en la habitación 35;Alojamiento entero;69.0; Anton;4.66;124.0;Bern;Suiza
Precioso estudio en villa del siglo XVIII;Alojamiento entero;118.0; Jennifer;4.87;54.0;Bern;Suiza
Hermoso apartamento de 2 habitaciones y vistas ingeniosas;Alojamiento entero;87.0; Erna & Albrecht;4.83;233.0;Bern;Suiza
Espléndido loft con vistas al lago;Alojamiento entero;226.0; Regina;5.0;7.0;Bern;Suiza
Dormitorio de la ciudad perfecto, amplio y moderno;Alojamiento entero;226.0; Corinne & Chris;5.0;14.0;Bern;Suiza
Casa acogedora Natur-/Stadtnah cerca de Berna;Alojamiento entero;208.0; Anneke;4.75;0.0;Bern;Suiza
Casa señorial en una ubicación tranquila y céntrica.;Alojamiento entero;98.0; Jan;4.93;89.0;Bern;Suiza
Hogar del amor;Alojamiento entero;113.0; Lisboa;4.74;70.0;Bern;Suiza
Niederli - Oase, Spiez;Alojamiento entero;118.0; Martin;4.97;68.0;Bern;Suiza
Lugar mágico y piscina de Beatenberg;Habitación;212.0;Gerti;4.9;551.0;Bern;Suiza
Elegante apartamento. Terraza de 120 metros cuadrados - balcón y gimnasio;Alojamiento entero;111.0; Serge;4.82;17.0;Bern;Suiza
Acogedor apartamento en el ático;Alojamiento entero;139.0; Dino;4.96;0.0;Bern;Suiza
En la habitación 25: estar en el casco antiguo;Alojamiento entero;70.0; Anton;4.69;173.0;Bern;Suiza
Estudio de la ciudad, casco antiguo, a 3 minutos de la estación de Berna;Alojamiento entero;124.0; Kai;4.7;821.0;Bern;Suiza
¡Lujo, apartamento en el centro de la ciudad! NETFLIX, Apple TV;Alojamiento entero;163.0; Nico;4.62;183.0;Bern;Suiza
Estudio con vistas al lago y a la montaña;Alojamiento entero;157.0; Karin Joyce;5.0;0.0;Bern;Suiza
Casa en zona rural;Alojamiento entero;98.0; Hans;4.8;247.0;Bern;Suiza
Alojamiento en Emmentaler Spycher de 300 años;Habitación;23.0; Alexander;4.7;44.0;Bern;Suiza
Apartamento nuevo totalmente equipado cerca del centro de Berna;Alojamiento entero;100.0; Edon;4.81;208.0;Bern;Suiza
¡Apartamento de 2 habitaciones cerca de Lucerna! Lucerna de 2 dormitorios;Alojamiento entero;93.0; Marie-Theres;4.91;65.0;Bern;Suiza
Bnb de l 'Ermitage - apartamento. con impresionantes vistas;Alojamiento entero;134.0; Evelyne;5.0;71.0;Bern;Suiza
Hermoso apartamento de 2 habitaciones y vistas ingeniosas;Alojamiento entero;87.0; Erna & Albrecht;4.83;233.0;Bern;Suiza
