Name,Type,Price per night,Host,Rating,Reviews,City
Alpenblick,"Alojamiento entero: piso en Diemtigen, Suiza",113,Anfitrión: Marianne,"4,97",67,Bern
Sala de estar en Berna,"Habitación en Bern, Suiza",36,Quédate con Arwen,"5,0",6,Bern
Escapada al campo,"Habitación en Utzenstorf, Suiza",31,Quédate con Franziska,,,Bern
Habitación individual privada en Berna,"Habitación en Bern, Suiza",45,Anfitrión: Weng Ian,,,Bern
Casa céntrica en Zollikofen,"Alojamiento entero: vivienda en Zollikofen, Suiza",200,Anfitrión: Michael & Selina,"5,0",7,Bern
Artista en The Green Park,"Alojamiento entero: apto. residencial en Bern, Suiza",102,Anfitrión: Cristhian,"4,68",95,Bern
Apartamento especial en una ubicación exclusiva,"Alojamiento entero: piso en Bern, Suiza",98,Anfitrión: Ursula,"4,98",446,Bern
Acogedor apartamento con patio privado en el corazón de Berna,"Alojamiento entero: piso en Bern, Suiza",82,Anfitrión: Lena,"4,90",147,Bern
Como si estuvieras en casa,"Habitación en Ostermundigen, Suiza",42,Quédate con Aline Karina,,,Bern
Apartamento espacioso y silencioso en el centro de la ciudad de Berna,"Alojamiento entero: piso en Bern, Suiza",108,Anfitrión: Jessica,,,Bern
"Habitación, Thörishaus Dorf, ""Kellerstudio""","Alojamiento entero: piso en Köniz, Suiza",43,Anfitrión: Mark,"5,0",18,Bern
¡Pequeño pero bonito! ¡Bonito y completo!,"Habitación privada en: casa de invitados en Bern, Suiza",60,Anfitrión: Martha,"4,82",218,Bern
Apartamento grande y seguro cómodo,"Alojamiento entero: piso en Bern, Suiza",216,Anfitrión: Emilie,"5,0",4,Bern
Apartamento de negocios moderno - Insel,"Alojamiento entero: piso en Bern, Suiza",102,Anfitrión: Jürg Martin,"4,92",87,Bern
Sobre los techos de Berna,"Alojamiento entero: piso en Bern, Suiza",175,Anfitrión: Stéphane,,,Bern
"""B&B alba"" en loft atmosférico y silencioso","Alojamiento entero: loft en Ostermundigen, Suiza",98,Anfitrión: Gema,"4,99",199,Bern
Estudio soleado y relajante,"Alojamiento entero: piso en Bern, Suiza",98,Anfitrión: Jazmine,"4,90",10,Bern
cHEaRT de BErn – URBErN Pulse,"Alojamiento entero: piso en Bern, Suiza",90,Anfitrión: Rinaldo,,,Bern
Apartamento entero en Europaplatz,"Alojamiento entero: piso en Bern, Suiza",98,Anfitrión: Irene,"4,95",84,Bern
La Casa Azul,"Alojamiento entero: piso en Biel, Suiza",199,Anfitrión: Liselotte,"4,91",70,Bern
Habitación preciosa cerca de la ciudad de Berna,"Habitación en Bern, Suiza",51,Quédate con Romeo,"4,57",7,Bern
4.5 Z.- Apartamento con vista a la montaña,"Alojamiento entero: apto. residencial en Spiez, Suiza",257,Anfitrión: Fabien,"4,81",,Bern
Acogedor apartamento con jardín y gimnasio,"Alojamiento entero: piso en Biel, Suiza",93,Anfitrión: Serge,"4,68",47,Bern
Safaritent 2 personas (Jungfrau) / Camping Rütti,"Tienda de campaña en Lauterbrunnen, Suiza",57,Anfitrión: Sylvia & Toni,,,Bern
"Tranquilo Ático-Apto., Super céntrico","Alojamiento entero: piso en Bern, Suiza",187,Anfitrión: Kai,"4,91",74,Bern
Apartamento en el primer piso de Fischermätteliquartier,"Alojamiento entero: piso en Bern, Suiza",129,Anfitrión: Bernadette,"4,61",38,Bern
Ahorni,"Alojamiento entero: piso en Beatenberg, Suiza",172,Anfitrión: Sonja - Interhome Group,"4,82",17,Bern
Esquí y baños en Loèche-les-Bains,"Alojamiento entero: piso en Leukerbad, Suiza",82,Anfitrión: Judit,"5,0",11,Bern
Estudio en Interlaken,"Alojamiento entero: piso en Interlaken, Suiza",154,Anfitrión: Swiss Holidays Apartments,"4,13",8,Bern
Apartamento rojo cerca de Interlaken,"Alojamiento entero: piso en Wilderswil, Suiza",158,Anfitrión: Claudia,"4,76",343,Bern
Vacaciones en Biel con terraza y fitness,"Alojamiento entero: piso en Biel, Suiza",107,Anfitrión: Serge,"4,78",9,Bern
Beatenberg Lakeview de ROOXI,"Alojamiento entero: piso en Beatenberg, Suiza",302,Anfitrión: Ruxin,"4,87",23,Bern
"Apartamento de vacaciones de 4 dormitorios en el Chalet Paradiesli, Sigriswil","Alojamiento entero: piso en Sigriswil, Suiza",180,Anfitrión: Lisa,"4,96",27,Bern
"Duplex Comfort, Dorint Blümlisalp","Alojamiento entero: piso en Beatenberg, Suiza",223,Anfitrión: Sonja - Interhome Group,"4,86",28,Bern
