name;category;price_per_night;host;rating;reviews;city;country
Acogedor apartamento privado en el centro de Berna;Alojamiento entero;43.0; Marcos;4.68;19.0;Bern;Suiza
Exclusivo departamento urbano;Alojamiento entero;473.0; Stephan;0.0;0.0;Bern;Suiza
Sala de estar en Berna;Habitación;36.0;Arwen;5.0;5.0;Bern;Suiza
Apartamento en el casco antiguo;Alojamiento entero;125.0; Kai;4.84;339.0;Bern;Suiza
Habitación en Freimettigen;Habitación;36.0; Urs;0.0;0.0;Bern;Suiza
Ice Attic-Apt, casco antiguo, a 3 minutos de la estación de tren;Habitación;113.0; Kai;4.84;218.0;Bern;Suiza
N.º 2 apartamento acogedor y céntrico;Alojamiento entero;71.0; Bess;4.87;0.0;Bern;Suiza
Habitación en el espejo BE, a 10 de Berna;Alojamiento entero;62.0; Chantal;5.0;13.0;Bern;Suiza
Habitación soleada, súper central, estación de Berna a 5 minutos a pie;Habitación;68.0;Kai;4.93;877.0;Bern;Suiza
Como si estuvieras en casa;Habitación;42.0;Aline Karina;0.0;0.0;Bern;Suiza
Habitación ático con vistas increíbles;Habitación;53.0; Roger;4.94;16.0;Bern;Suiza
Hermosa habitación en el casco antiguo de Berna;Habitación;55.0;Eliane;4.82;68.0;Bern;Suiza
Precioso apartamento de 1 habitación con terraza y cerca de la Universidad;Alojamiento entero;76.0; Daniel;4.86;86.0;Bern;Suiza
Acogedor apartamento con patio privado en el corazón de Berna;Alojamiento entero;83.0; Lena;4.91;145.0;Bern;Suiza
"Habitación, Thörishaus Dorf, ""Kellerstudio""";Alojamiento entero;43.0; Mark;5.0;17.0;Bern;Suiza
cHEaRT de BErn – URBErN Pulse;Alojamiento entero;97.0; Rinaldo;0.0;0.0;Bern;Suiza
Cómoda Habitación cerca del centro de Berna;Habitación;78.0; Yosk;5.0;0.0;Bern;Suiza
"""B&B alba"" en loft atmosférico y silencioso";Alojamiento entero;98.0; Gema;4.99;199.0;Bern;Suiza
Logotipo céntrico y moderno de 1 habitación;Alojamiento entero;124.0; Flo;4.93;121.0;Bern;Suiza
